Stock,Diff,Time1,Volatility,Momentum,SMA_3,SMA_10,MA_Diff,RSI,Time2
5,6.159458160400405,7,2.3762099331497355,0.879922594342915,88.53612263997375,85.90069198608374,2.635430653890012,41.04618437627879,6.0
5,-6.145133972167912,6,2.175101300115663,-1.0241889953613186,83.81804784138987,86.31537628173812,-2.497328440348255,27.038551791843474,2.0
5,3.720766703287495,2,1.9270316518864203,1.8603833516437476,84.33970557318777,85.9610328674315,-1.6213272942437271,43.03054975532516,4.0
5,-2.6768938700358262,4,0.9696905127926276,-0.6692234675089566,84.678711361355,84.6283327738442,0.05037858751079227,36.91979999740863,19.0
5,7.769209543864164,19,2.0899739964343107,0.40890576546653495,90.65425448947458,88.71904754638655,1.9352069430880334,65.38857593828973,7.0
6,-2.5773254394528067,3,1.1142963771291234,-0.8591084798176022,102.02673746744786,103.63372802734357,1.7480712890624375,64.48519237424651,15.0
6,7.94906616210919,15,2.3259010846932515,0.5299377441406127,108.47462158203108,107.63721191406232,0.8374096679687568,68.30610456894289,8.0
6,-5.787695312500006,8,1.7505421872507116,-0.7234619140625007,106.37655843098933,107.77285400390599,-1.3962955729166566,37.17947678729126,2.0
6,4.295568847656412,2,2.2225815848965564,2.147784423828206,105.11051025390613,107.23929687499977,-2.1287866210936386,53.93250727652889,2.0
6,-2.69493408203121,2,1.4547255300576427,-1.347467041015605,105.92440185546866,106.6225390624998,-0.698137207031138,45.481902358600024,2.0
6,2.7039672851560113,2,1.4761601917745506,1.3519836425780056,105.90329589843732,106.17218505859356,-0.26888916015623465,54.281805716502596,6.0
6,-5.272265625000003,6,1.775673757145969,-0.8787109375000005,102.78635660807267,104.13200927734356,-1.3456526692708906,39.86488897546114,1.0
6,2.107092285156412,1,1.4899392434199574,2.107092285156412,103.25962727864561,104.04609863281232,-0.7864713541667072,47.88160674382574,4.0
7,3.381844656807985,1,2.3913252897484187,3.381844656807985,102.76285226004457,101.68614676339277,-0.4994024367559149,40.78696132031712,3.0
7,-3.9625592912945677,3,1.7366085292738325,-1.3208530970981893,101.49418712797609,101.68614676339277,-0.4994024367559149,40.78696132031712,3.0
7,2.015433175223137,3,0.8231792027790097,0.6718110584077124,101.90695335751475,101.68614676339277,-0.4994024367559149,40.78696132031712,3.0
7,-5.371660505022277,3,2.3205473642824708,-1.7905535016740923,99.39619082496277,101.2924525669642,-1.8962617420014283,40.78696132031712,15.0
