Day,Close,High,Low,Open,SMA_3,SMA_10,MA_Diff,Volatility,RSI,Daily_Return,Next_Day_Close,Target,Stock
25,103.75319740988954,104.49580720730181,101.48293058206909,103.15911216197726,104.43215803666529,101.69935677268268,2.7328012639826085,1.1967061090568616,54.78006953197538,-0.002448024818746508,104.32608864524136,1,4
26,104.32608864524136,104.92017399696545,102.8620810373409,103.54104127506409,104.02903238932272,102.3783153187143,1.6507170706084224,1.1749918534107362,56.231571803491605,0.005521673063130228,103.92293756658363,0,4
27,103.92293756658363,105.59911920075727,101.84363265653045,103.92293756658363,104.00074120723816,103.03605582497316,0.964685382265003,0.7164470105853309,54.89617525851817,-0.0038643361779682195,104.43217884410498,1,4
28,104.43217884410498,105.19600104016544,103.13791449515453,104.05026127102954,104.22706835197665,103.49859688498739,0.7284714669892622,0.2832458908046822,56.307658734777036,0.004900181706229079,103.3713254061609,0,4
29,103.3713254061609,104.36854076833363,101.73758064519772,104.02906058066044,103.90881393894983,103.94840934059816,-0.03959540164832731,0.43233259996516205,52.613813614539445,-0.010158300340814552,99.17024785822045,0,4
30,99.17024785822045,102.77721027928364,98.02450814889181,102.01338164804953,102.32458403616211,103.5346714366564,-1.210087400494288,2.2054715525867046,41.11192788790321,-0.04064064702115233,97.57892955433226,0,4
31,97.57892955433226,100.95249860179908,97.02727524734635,99.65824094604136,100.04016760623789,102.8366172096944,-2.7964496034565087,3.10573380648526,37.745883028410496,-0.01604632778737458,97.17579928311407,0,4
32,97.17579928311407,98.27910789119318,94.18414128528453,96.24223394745545,97.97499223188895,102.32739812677535,-4.352405894886402,3.351816501287009,36.92117428680876,-0.004131325000790498,97.79110995205953,1,4
33,97.79110995205953,99.59459106640091,96.43319605509318,97.26067433019408,97.51527959650195,101.5529625632544,-4.037682966752442,2.5467875147619856,39.10805246416032,0.006331933192057271,98.10936667702408,1,4
34,98.10936667702408,99.63702378563727,97.04849548355453,98.7883268308618,97.69209197073256,100.96311811967308,-3.2710261489405212,0.7542529425536059,40.26167012214007,0.003254454572819254,95.0328341397368,0,4
35,95.0328341397368,98.13057912161182,94.33266178683272,97.98205457400499,96.97777025627347,100.0910817926578,-3.1133115363843302,1.224507658100628,33.62904857347017,-0.031358193835000714,95.98763899369635,1,4
